kodai-no-yu	東京天然温泉 古代の湯	東京天然温泉 古代の湯	by-sa	flickr	https://www.flickr.com/photos/29240874@N06/41881212690
kodai-no-yu	東京天然温泉 古代の湯	東京天然温泉 古代の湯	by-sa	flickr	https://www.flickr.com/photos/29240874@N06/43642609602
kodai-no-yu	東京天然温泉 古代の湯	東京天然温泉 古代の湯	by-sa	flickr	https://www.flickr.com/photos/29240874@N06/41881211660
kazuma	檜原温泉	檜原温泉センター 数馬の湯(三頭山トレッキング) Mitosan Trekking	by	flickr	https://www.flickr.com/photos/92203585@N00/3054265525
kazuma	檜原温泉	Hinohara Onsen Center 檜原温泉センター 数馬の湯(三頭山トレッキング)	by	flickr	https://www.flickr.com/photos/92203585@N00/3054244567
kazuma	檜原温泉	檜原温泉センター 数馬の湯(三頭山トレッキング) Mitosan Trekking	by	flickr	https://www.flickr.com/photos/92203585@N00/3055079458
hinohara-onsen	檜原温泉	檜原温泉センター 数馬の湯(三頭山トレッキング) Mitosan Trekking	by	flickr	https://www.flickr.com/photos/92203585@N00/3054265525
hinohara-onsen	檜原温泉	Hinohara Onsen Center 檜原温泉センター 数馬の湯(三頭山トレッキング)	by	flickr	https://www.flickr.com/photos/92203585@N00/3054244567
hinohara-onsen	檜原温泉	檜原温泉センター 数馬の湯(三頭山トレッキング) Mitosan Trekking	by	flickr	https://www.flickr.com/photos/92203585@N00/3055079458
shiobara	塩原温泉郷	Shiobara Monogatari-kan	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=117259177
shiobara	塩原温泉郷	Yuppo no sato, Ashiyu	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=116724990
shiobara	塩原温泉郷	Yuppo no sato	cc0	wikimedia	https://commons.wikimedia.org/w/index.php?curid=116724993
kawaji-onsen	川治温泉	Kawaji Hotsprings	by	flickr	https://www.flickr.com/photos/93775337@N00/53728337916
kawamata-onsen	川俣温泉	川俣温泉の間欠泉	by-sa	flickr	https://www.flickr.com/photos/68541312@N00/272277480
kawamata-onsen	川俣温泉	間欠泉（川俣温泉）	by-sa	flickr	https://www.flickr.com/photos/22598122@N03/2425353958
kawamata-onsen	川俣温泉	間欠泉のとこに足湯がありました（川俣温泉）	by-sa	flickr	https://www.flickr.com/photos/22598122@N03/2425353774
大田原温泉	大田原温泉	養老渓谷駅P1010094	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=4222666
大田原温泉	大田原温泉	Tokugawa Ieyasu; Ii Naomasa; Honda Tadakatsu; Todo Takatora hata-jirushi	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=109133722
大田原温泉	大田原温泉	Shimazu Yoshihiro; Ishida Mitsunari; Ukita Hideie; Otani Yoshitsugu hata-Jirushi	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=109133721
中禅寺温泉	中禅寺温泉	中禅寺温泉バスターミナル - panoramio (1)	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=53775223
中禅寺温泉	中禅寺温泉	中禅寺温泉バスターミナル - panoramio (2)	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=54659375
中禅寺温泉	中禅寺温泉	IMG 東武バス日光	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=97465216
yunishigawa	湯西川温泉	湯西川温泉かまくら祭	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=85840658
yunishigawa	湯西川温泉	Yunishigawa-Onsen Station - platform - March 2014	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=32032500
yunishigawa	湯西川温泉	樹間から湯西川温泉駅に入る列車	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=85839553
nikko-onsen	日光温泉	Kinugawa Onsen Tochigi prefecture Wikivoyage banner	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=55350293
nikko-onsen	日光温泉	ふれあい橋（栃木県日光市鬼怒川温泉滝）20250719-P1070945	by	wikimedia	https://commons.wikimedia.org/w/index.php?curid=170362281
nikko-onsen	日光温泉	Japanese national route 121 and 352 at 29 Kinugawa-onsen-ohara Nikko city Tochigi prefecture 20210804 144009	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=109608731
矢板温泉	矢板温泉	Welcome to Travertine Hot Springs, Bridgeport	by	flickr	https://www.flickr.com/photos/50902562@N00/8145376117
矢板温泉	矢板温泉	20100322矢板温泉城の湯	by-sa	wikimedia	https://commons.wikimedia.org/w/index.php?curid=93283749
